,Name,Max Temp,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Wind Speed
98,San Mateo del Mar,82.47,34,MX,04/09/2020,79,16.2,-95.0,7.23
99,Mahébourg,84.2,75,MU,04/09/2020,79,-20.41,57.7,20.8
100,Cape Town,63.0,23,ZA,04/09/2020,72,-33.93,18.42,4.7
101,Hamilton,57.0,75,US,04/09/2020,93,39.18,-84.53,10.29
102,Bethel,46.99,1,US,04/09/2020,93,41.37,-73.41,1.3
103,Chippewa Falls,36.0,1,US,04/09/2020,64,44.94,-91.39,8.05
104,Tabou,80.02,70,CI,04/09/2020,84,4.42,-7.35,5.17
105,Morón,55.4,0,AR,04/09/2020,93,-34.65,-58.62,2.24
106,Upernavik,10.49,90,GL,04/09/2020,81,72.79,-56.15,4.38
107,Saldanha,57.2,24,ZA,04/09/2020,37,-33.01,17.94,3.36
108,Mīzan Teferī,77.38,65,ET,04/09/2020,40,6.98,35.58,0.83
109,Bengkulu,87.62,92,ID,04/09/2020,61,-3.8,102.27,7.05
110,Ségou,71.35,0,ML,04/09/2020,18,13.43,-6.22,2.91
111,Hong Kong,79.0,17,HK,04/09/2020,47,22.29,114.16,9.17
112,Wanaka,52.0,98,NZ,04/09/2020,66,-44.7,169.15,2.82
113,Balkhash,39.2,75,KZ,04/09/2020,86,46.84,74.98,11.18
114,Ruteng,71.55,50,ID,04/09/2020,71,-8.61,120.47,1.59
115,São João da Barra,69.73,99,BR,04/09/2020,89,-21.64,-41.05,10.4
116,Fare,83.79,93,PF,04/09/2020,78,-16.7,-151.02,13.27
117,Tuktoyaktuk,1.81,1,CA,04/09/2020,91,69.45,-133.04,6.89
118,Maningrida,84.15,100,AU,04/09/2020,68,-12.07,134.27,9.6
119,Port Lincoln,64.51,4,AU,04/09/2020,65,-34.73,135.87,6.93
120,Severo-Kuril'sk,31.12,99,RU,04/09/2020,95,50.68,156.12,7.49
121,New Norfolk,66.0,0,AU,04/09/2020,63,-42.78,147.06,6.93
122,Paamiut,30.4,100,GL,04/09/2020,86,61.99,-49.67,3.85
123,Ossora,21.92,68,RU,04/09/2020,95,59.24,163.07,1.9
124,Hilo,75.2,75,US,04/09/2020,83,19.73,-155.09,3.36
125,Arraial do Cabo,72.93,51,BR,04/09/2020,74,-22.97,-42.03,18.39
126,Porto-Novo,82.4,40,BJ,04/09/2020,88,6.5,2.6,4.7
127,Mar del Plata,53.01,20,AR,04/09/2020,93,-38.0,-57.56,4.14
128,Tautira,82.4,75,PF,04/09/2020,69,-17.73,-149.15,1.12
129,Provideniya,14.0,66,RU,04/09/2020,66,64.38,-173.3,4.47
130,Chegdomyn,46.2,0,RU,04/09/2020,45,51.12,133.02,3.76
131,Rey Bouba,85.28,95,CM,04/09/2020,45,8.67,14.18,2.8
132,Usmajac,64.89,0,MX,04/09/2020,22,19.87,-103.57,2.1
133,Insch,42.01,75,GB,04/09/2020,86,57.34,-2.61,1.12
134,Northam,57.0,82,GB,04/09/2020,92,51.03,-4.22,6.35
135,Alice Springs,73.4,75,AU,04/09/2020,33,-23.7,133.88,11.41
136,Swan Hill,62.92,98,AU,04/09/2020,72,-35.34,143.55,11.21
